,batter_name,pitcher_name,avg_ev,avg_la
741323,Robbie Grossman,Patrick Corbin,87.0540917146878,20.264319601713513
729298,Jordan Luplow,Julio Urias,87.04977818203974,14.794812450480888
743105,Jake Cronenworth,German Marquez,87.04824444470825,18.18613040626829
731396,Cedric Mullins,Corey Kluber,87.02012836551508,17.867669077683647
725605,Alan Trejo,Blake Snell,87.00664391266211,11.864962597208244
735486,Luis Urias,Marcus Stroman,86.96754718371245,16.445289229438718
742498,Ty France,Shane Bieber,86.94559362047883,9.460364880375133
741313,Marcell Ozuna,Patrick Corbin,86.91561274340508,12.11219122843706
354905,Oscar Mercado,Jacob deGrom,86.90484951274834,23.517432670396566
738245,Tommy Edman,Alek Manoah,86.89337179748193,14.459827975467858
727937,Victor Reyes,Shane McClanahan,86.88977042871574,11.33542845705562
468358,Robbie Grossman,Shane McClanahan,86.88462583073304,20.12755076640589
733502,Jonathan Schoop,Shane McClanahan,86.88165987950336,10.479604602313334
742503,Dylan Moore,Shane Bieber,86.88048749217175,20.251038337180837
731685,Tyler Nevin,Corey Kluber,86.8743242153326,18.353278149838765
731718,Rougned Odor,Corey Kluber,86.87025396134614,23.485526862903203
661478,Ozzie Albies,Patrick Corbin,86.8283874451436,14.122999010067504
743119,Jurickson Profar,German Marquez,86.82206588177128,12.186711872159327
738231,Juan Yepez,Alek Manoah,86.77858275333584,19.069135470690888
742250,Jeremy Pena,Dylan Cease,86.77854023944886,9.519466945810567
172120,Austin Romine,Kyle Muller,86.73941140059512,9.02891149654953
721957,Michael A. Taylor,Pablo Lopez,86.73150042496124,11.24662325460623
742239,Chas McCormick,Dylan Cease,86.71069765189344,14.351275269428966
437893,Edmundo Sosa,Alek Manoah,86.69080358241204,11.288668440587431
724856,Jonah Bride,Shohei Ohtani,86.65502145285834,11.357128896044355
732380,Marwin Gonzalez,Logan Webb,86.6410509915986,19.77203669661688
742009,Bryson Stott,Jacob deGrom,86.56319290572003,12.010868190645413
733499,Jeimer Candelario,Shane McClanahan,86.53250145483543,17.80496379880994
731960,Dermis Garcia,Shohei Ohtani,86.51085707700167,12.32718558781112
735226,JJ Bleday,Max Scherzer,86.50627008868346,28.610308860863363
735211,Charles Leblanc,Max Scherzer,86.50498455351178,17.257142614328977
732350,Aaron Hicks,Logan Webb,86.49153859863165,13.88810174385674
418659,Jose Siri,Dylan Cease,86.48415710076152,15.736163057540969
729021,Joey Wendle,Max Scherzer,86.41491493900017,4.613000183762319
729040,Jacob Stallings,Max Scherzer,86.35871425065753,12.278352784007135
738614,Edmundo Sosa,Jacob deGrom,86.34916466009592,7.311227185446151
190950,Ildemaro Vargas,Corbin Burnes,86.34499381860286,6.1863961377829035
472011,Brandon Marsh,Kyle Muller,86.31419737361517,8.035558515100941
738236,Corey Dickerson,Alek Manoah,86.2411494755009,12.13325862957002
722917,Miguel Rojas,Max Scherzer,86.2302496739799,11.434954160877309
709449,Jarren Duran,Kyle Gibson,86.17535803105122,5.204643396235872
274166,Kevin Smith,Shohei Ohtani,86.17087978520063,13.588541011877444
578617,Jorge Polanco,Zack Greinke,86.16603306307906,19.447670348429718
731726,Jorge Mateo,Corey Kluber,86.0997185915226,12.413920014315755
742633,Oswaldo Cabrera,Logan Webb,86.08640905001185,18.877104779296175
535699,Seth Beer,Julio Urias,86.08416540887357,13.206626945544006
732789,Kyle Farmer,Mitch Keller,86.07608201234804,12.04675548809142
733514,Akil Baddoo,Shane McClanahan,86.06358396404553,16.623197932564917
351501,Sergio Alcantara,German Marquez,86.06274221233386,13.54470620949079
732504,Josh H. Smith,Aaron Nola,86.03543411706791,16.59837889676416
734721,Ryan Jeffers,Zack Greinke,86.0305049551803,15.205383334346173
729423,Kolten Wong,Marcus Stroman,86.0218381844992,12.977536056226715
732514,Leody Taveras,Aaron Nola,85.96267410355318,13.046931638333433
546682,Nomar Mazara,German Marquez,85.96074300069775,15.917366609427647
734742,Gilberto Celestino,Zack Greinke,85.92620913664165,-2.293076756821053
742521,Jarred Kelenic,Shane Bieber,85.92086580007101,15.93206421741609
743132,Ha-Seong Kim,German Marquez,85.84111578137217,15.573139248260308
664651,Richie Palacios,Luis Castillo,85.83942205679146,14.392522085805506
736287,Dylan Carlson,Alek Manoah,85.83809859991338,13.043837142985998
732843,Austin Romine,Mitch Keller,85.82742783881699,8.462139697552914
732219,Kevin Newman,Hunter Greene,85.82663636711787,7.9598235837813
529231,Brett Phillips,Corey Kluber,85.81592766430937,21.62600305274581
740397,Jake Meyers,Dylan Cease,85.79675074187061,6.120559612316566
742659,Isiah Kiner-Falefa,Logan Webb,85.73993986037257,5.922938326432248
644037,Rafael Ortega,Corbin Burnes,85.7328921501591,15.623370938100265
460565,Johan Camargo,Jacob deGrom,85.71837705702822,13.186283726747302
